Academic Year (Enrolment),Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Eircode,Email,Phone No.,Principal Name,Local Authority Description,DEIS (Y/N),Irish Classification Description,Gaeltacht Indicator (Y/N),Island (Y/N),Ethos Description,Female,Male,Total
2020,00697S,ST BRIGIDS MXD N S,Beechpark Lawn,Castleknock,Dublin 15,,Dublin,D15P820,principal@saintbrigids.ie,18214040,Denis Courtney,Fingal County Council,N,No subjects through Irish,N,N,Catholic,438,504,942
2020,01170G,S N na hAille,Westown,Naul,Co. Dublin,,Dublin,K32PX40,naulns1834@gmail.com,18413821,edel mcmahon,Fingal County Council,N,No subjects through Irish,N,N,Catholic,61,79,140
2020,09492W,BALSCADDEN N S,Balscadden,Ring Commons,Co. Dublin,,Dublin,K32VK33,info@balscadden.com,18412579,Christopher White,Fingal County Council,N,No subjects through Irish,N,N,Catholic,112,107,219
2020,09642P,BURROW N S,Howth Road,Sutton,Dublin 13,,Dublin,D13TC04,burrowsecretary@gmail.com,18325784,Lynn Harley,Fingal County Council,N,No subjects through Irish,N,N,Church Of Ireland,106,110,216
2020,10296G,SCOIL NAOMH MEARNOG,Strand Road,Portmarnock,Co. Dublin,,Dublin,D13PF29,stmarnocksns@gmail.com,18462060,Sinéad Trimble,Fingal County Council,N,No subjects through Irish,N,N,Catholic,304,344,648
2020,11583O,ST ANDREWS N S,Church Road,Malahide,Co. Dublin,,Dublin,K36HD54,principal@standrewsns.ie,18450185,Lesley McElhinney,Fingal County Council,N,No subjects through Irish,N,N,Church Of Ireland,104,117,221
2020,12358M,SWORDS BOROUGH N S,Church Road,Swords,Co. Dublin,,Dublin,K67Y179,info@oldboroughschool.ie,18407036,Anne Marie Woods,Fingal County Council,N,No subjects through Irish,N,N,Church Of Ireland,54,54,108
2020,14180H,HOLMPATRICK N S,Convent Lane,Skerries,Co. Dublin,,Dublin,K34W573,office@holmpatrickns.ie,18491409,Deirdre MacLean,Fingal County Council,N,No subjects through Irish,N,N,Church Of Ireland,40,39,79
2020,15315J,ST GEORGES N S,Naul Road,Balbriggan,Co. Dublin,,Dublin,K32KC95,office@stgeorgesns.com,18410107,Elaine Browne,Fingal County Council,N,No subjects through Irish,N,N,Church Of Ireland,182,202,384
2020,15569R,SCOIL MOIBHI,Milverton,Skerries,Co. Dublin,,Dublin,K34WP77,office@milvertonns.ie,18492467,Maria Lynam,Fingal County Council,N,No subjects through Irish,N,N,Catholic,35,51,86
2020,15650A,CORDUFF N S,Lusk,Co. Dublin,,,Dublin,K45XV34,office@corduffns.scoilnet.ie,18438274,Carola Reynolds,Fingal County Council,N,No subjects through Irish,N,N,Catholic,51,40,91
2020,16267G,ST PATRICKS BOYS NATIONAL SCHOOL,Donabate,Co. Dublin,,,Dublin,K36W309,info@stpatsbns.ie,18436168,Brian Horan,Fingal County Council,N,No subjects through Irish,N,N,Catholic,,398,398
2020,16332O,ST PATRICKS SNR MIXED,Beau Piers Lane,Skerries,Co. Dublin,,Dublin,K34X751,stpatsskerries@gmail.com,18490945,Michelle Keane,Fingal County Council,N,No subjects through Irish,N,N,Catholic,187,162,349
2020,16333Q,ST PATRICKS JNR MIXED,Tennis Court Lane,Skerries,Co. Dublin,,Dublin,K34D799,admin@stps.ie,18490836,Máire Ní Chroínín,Fingal County Council,N,No subjects through Irish,N,N,Catholic,174,166,340
2020,16675V,SCOIL NAOMH LUCAIS,Hollywood Road,Tyrellstown,Dublin 15,,Dublin,D15CH64,katemns@hotmail.com,18856015,Vivienne Bourke,Fingal County Council,N,No subjects through Irish,N,N,Catholic,295,293,588
2020,16844S,SCOIL N. BREANDAN,Loughshinny,Skerries,Co. Dublin,,Dublin,K34T853,principal@loughshinnyns.ie,18490394,Niall Mulvey,Fingal County Council,N,No subjects through Irish,N,N,Catholic,104,103,207
2020,16970A,ST MOLAGA SENIOR NS,Bremore,Balbriggan,Co. Dublin,,Dublin,K32Y662,stmolaga@gmail.com,18413133,Pauline Costello,Fingal County Council,N,No subjects through Irish,N,N,Catholic,205,244,449
2020,16972E,S N PEADAR AGUS POL N,Chapel Street,Balbriggan,Co. Dublin,,Dublin,K32PD27,office@sspeterandpauljns.ie,18412670,Siobhan Whelan,Fingal County Council,N,No subjects through Irish,N,N,Catholic,211,224,435
2020,17263D,S N MUIRE AN SEAN BAILE,Oldtown,Co. Dublin,,,Dublin,A45YD60,oldtownns@gmail.com,18432060,Jane Kirwan,Fingal County Council,N,No subjects through Irish,N,N,Catholic,31,31,62
2020,17472M,BAILE FALBACH,Jordanstown,Lusk,Co. Dublin,,Dublin,K45YP02,hedgestownnationalschool@gmail.com,18438372,Annemarie Sharkey,Fingal County Council,N,No subjects through Irish,N,N,Catholic,40,39,79
2020,17559B,S N MHUIRE,The Green,Garristown,Co. Dublin,,Dublin,A42V673,garristownschooloffice@gmail.com,18354505,Hugh Daly,Fingal County Council,N,No subjects through Irish,N,N,Catholic,91,103,194
2020,17569E,BLESSED OLIVER N S,Balrothery,Balbriggan,Co. Dublin,,Dublin,K32WR94,office@balrotheryns.com,18411494,Mairéad Murphy,Fingal County Council,N,No subjects through Irish,N,N,Catholic,171,158,329
2020,17595F,CILL COSCAIN,Kilcoscan,The Ward,Co. Dublin,,Dublin,D11PW92,kilcoskanprincipal@gmail.com,18351508,Paddy Christie,Fingal County Council,N,No subjects through Irish,N,N,Catholic,57,59,116
2020,17785K,SAN NIOCLAS MYRA,Malahide Road,Kinsealy,Dublin 17,,Dublin,D17FP52,principal@kinsealyns.ie,18464033,Breandan Ó Fathaigh,Fingal County Council,N,No subjects through Irish,N,N,Catholic,96,106,202
2020,17820J,BRIGHDE NAOFA,Rowlestown Drive,Kilsallaghan,Co. Dublin,,Dublin,K67Y308,rolestown.ns@gmail.com,18404130,Ann Ryan,Fingal County Council,N,No subjects through Irish,N,N,Catholic,195,167,362
2020,17914S,ST OLIVER PLUNKETT,Grove Road,Malahide,Co. Dublin,,Dublin,K36H998,office@stops.ie,18452052,Claire O'Connor,Fingal County Council,N,No subjects through Irish,N,N,Catholic,458,459,917
2020,17928G,SN N SAILBHEASTAR NFA,Yellow Walls Road,Malahide,Co Dublin,,Dublin,K36PA66,stsylvesters@gmail.com,18450061,Sharon Dunne,Fingal County Council,N,No subjects through Irish,N,N,Catholic,202,199,401
2020,17961E,S N LUSCA,Chapel Road,Lusk,Co. Dublin,,Dublin,K45CX43,office@lusksns.ie,18437738,Paul Comiskey,Fingal County Council,N,No subjects through Irish,N,N,Catholic,256,204,460
2020,18038B,ST MARGARETS N S,Sandyhill,Saint Margaret's,Co. Dublin,,Dublin,K67PE80,stmargaretsns@hotmail.com,18361669,Grainne Noone,Fingal County Council,N,No subjects through Irish,N,N,Catholic,39,56,95
2020,18046A,SCOIL BRIDE B,Church Avenue,Blanchardstown,Dublin 15,,Dublin,D15H329,principal@scoilbhrideb.com,18201299,Séamus Sullivan,Fingal County Council,N,No subjects through Irish,N,N,Catholic,,314,314
2020,18047C,SCOIL BRIDE C,Church Avenue,Blanchardstown,Dublin 15,,Dublin,D15R271,paula.dargan@scoilbhridecailini.ie,18201717,Paula Dargan,Fingal County Council,N,No subjects through Irish,N,N,Catholic,331,,331
2020,18080A,SCOIL MHUIRE MXD,Tuckett's Lane,Howth,Co. Dublin,,Dublin,D13PW99,howthns@gmail.com,18323572,Mary Downes,Fingal County Council,N,No subjects through Irish,N,N,Catholic,212,205,417
2020,18412W,S N C NAOMH PADRAIG,Portrane Road,Donabate,Co. Dublin,,Dublin,K36KH36,scoilphadraic@gmail.com,18436201,Ciara Greene,Fingal County Council,N,No subjects through Irish,N,N,Catholic,435,,435
2020,18623M,SCOIL NAISUNTA CHNUACHA,Main Street,Castleknock,Dublin 15,,Dublin,D15PV38,office@castleknocknationalschool.ie,18202611,Sandra Moloney,Fingal County Council,N,No subjects through Irish,N,N,Church Of Ireland,103,108,211
2020,18778S,S N NAOMH MOCHTA,Porterstown Road,Clonsilla,Dublin 15,,Dublin,D15Y316,info@stmochtas.ie,18130430,Margaret O'Boyce,Fingal County Council,N,No subjects through Irish,N,N,Catholic,422,462,884
2020,18976W,S N CHOLMILLE B,Chapel Lane,Swords,,,Dublin,K67WP65,colmcilles@gmail.com,18405132,Ciara Brangan,Fingal County Council,N,No subjects through Irish,N,N,Catholic,,404,404
2020,18977B,S N CHOLMCILLE C,Chapel Lane,Swords,Co. Dublin,,Dublin,K67H337,colmcillesgns@gmail.com,18404168,Karen Burke Logue,Fingal County Council,N,No subjects through Irish,N,N,Catholic,421,,421
2020,19001G,BALLYBOGHILL N S,Ballyboughal,Co. Dublin,,,Dublin,A41RC98,principal@ballyboughalns.ie,18433469,Maeve O'Doherty,Fingal County Council,N,No subjects through Irish,N,N,Catholic,119,104,223
2020,19393D,MHUIRE IOSEF JUNIOR,"Verbena Avenue,",Sutton,Dublin 13,,Dublin,D13CD56,notices@baysidejunior.ie,18326524,Elizabeth Madigan,Fingal County Council,N,No subjects through Irish,N,N,Catholic,198,205,403
2020,19435Q,ST FRANCIS XAVIER J N S,Roselawn Road,Castleknock,Dublin 15,,Dublin,D15CX84,principal@sfxjunior.ie,18210892,Heidi Collins,Fingal County Council,N,No subjects through Irish,N,N,Catholic,200,190,390
2020,19456B,ST CRONANS JUNIOR NATIONAL SCHOOL,Brackenstown,Swords,Co. Dublin,,Dublin,K67DP28,info@stcronansjns.ie,18402194,Edel Moloney,Fingal County Council,N,No subjects through Irish,N,N,Catholic,263,277,540
